"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
