"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
2600, 9.800000000000000e-01, 0.000000000000000e+00, 1.559851579222635e+06, 0.000000000000000e+00, 2.622647990284274e+00
2599, 1.000000000000000e+00, 0.000000000000000e+00, 9.824304614991082e+06, 0.000000000000000e+00, 3.543544556846952e+00
2598, 9.600000000000000e-01, 0.000000000000000e+00, 2.171708963237466e+05, 0.000000000000000e+00, 2.582133287629822e+00
2597, 9.399999999999999e-01, 0.000000000000000e+00, 4.676755273209228e+04, 0.000000000000000e+00, 1.740332143091845e+00
2596, 9.200000000000000e-01, 0.000000000000000e+00, 1.579622374798128e+04, 0.000000000000000e+00, 1.151735197792583e+00
2595, 9.000000000000000e-01, 0.000000000000000e+00, 1.547786289617463e+04, 0.000000000000000e+00, 1.140434851342472e+00
2594, 8.800000000000000e-01, 0.000000000000000e+00, 1.739436097619143e+04, 0.000000000000000e+00, 1.173874227997576e+00
2593, 8.600000000000000e-01, 0.000000000000000e+00, 1.647796724989255e+04, 0.000000000000000e+00, 1.098616988064056e+00
2592, 8.400000000000000e-01, 0.000000000000000e+00, 1.863452213680964e+04, 0.000000000000000e+00, 1.085529042850227e+00
2591, 8.200000000000001e-01, 0.000000000000000e+00, 1.732423719655610e+04, 0.000000000000000e+00, 1.071423421549890e+00
2590, 8.000000000000000e-01, 0.000000000000000e+00, 1.796842209090052e+04, 0.000000000000000e+00, 1.074060972345926e+00
2589, 7.800000000000000e-01, 0.000000000000000e+00, 1.709894159692297e+04, 0.000000000000000e+00, 1.072847274168917e+00
2588, 7.600000000000000e-01, 0.000000000000000e+00, 1.723189218249745e+04, 0.000000000000000e+00, 1.071876172411170e+00
2587, 7.400000000000000e-01, 0.000000000000000e+00, 1.697124774046383e+04, 0.000000000000000e+00, 1.065627790695312e+00
2586, 7.200000000000000e-01, 0.000000000000000e+00, 1.701495736328124e+04, 0.000000000000000e+00, 1.061992280036760e+00
2585, 7.000000000000000e-01, 0.000000000000000e+00, 1.684658712774194e+04, 0.000000000000000e+00, 1.057892730544016e+00
2584, 6.799999999999999e-01, 0.000000000000000e+00, 1.673610854692925e+04, 0.000000000000000e+00, 1.057099515292002e+00
2583, 6.599999999999999e-01, 0.000000000000000e+00, 1.649235861253488e+04, 0.000000000000000e+00, 1.056631853733279e+00
2582, 6.400000000000000e-01, 0.000000000000000e+00, 1.628309118918874e+04, 0.000000000000000e+00, 1.057022847877320e+00
2581, 6.200000000000000e-01, 0.000000000000000e+00, 1.604880379543347e+04, 0.000000000000000e+00, 1.056777206918822e+00
2580, 6.000000000000000e-01, 0.000000000000000e+00, 1.586628920287886e+04, 0.000000000000000e+00, 1.056027059117337e+00
2579, 5.800000000000001e-01, 0.000000000000000e+00, 1.570969286558661e+04, 0.000000000000000e+00, 1.054617852472677e+00
2578, 5.600000000000001e-01, 0.000000000000000e+00, 1.559969517248705e+04, 0.000000000000000e+00, 1.052850029714977e+00
2577, 5.400000000000000e-01, 0.000000000000000e+00, 1.552067815583371e+04, 0.000000000000000e+00, 1.050916021595611e+00
2576, 5.200000000000000e-01, 0.000000000000000e+00, 1.547582731746700e+04, 0.000000000000000e+00, 1.048974855424671e+00
2575, 5.000000000000000e-01, 0.000000000000000e+00, 1.545701528346223e+04, 0.000000000000000e+00, 1.047012535304048e+00
2574, 4.800000000000000e-01, 0.000000000000000e+00, 1.546710811194619e+04, 0.000000000000000e+00, 1.044983980585382e+00
2573, 4.600000000000000e-01, 0.000000000000000e+00, 1.550477957351951e+04, 0.000000000000000e+00, 1.042903634873422e+00
2572, 4.399999999999999e-01, 0.000000000000000e+00, 1.557867663009482e+04, 0.000000000000000e+00, 1.040659455884802e+00
2571, 4.200000000000000e-01, 0.000000000000000e+00, 1.568191960217825e+04, 0.000000000000000e+00, 1.038061866718118e+00
2570, 4.000000000000000e-01, 0.000000000000000e+00, 1.582519911853936e+04, 0.000000000000000e+00, 1.035109490851679e+00
2569, 3.800000000000000e-01, 0.000000000000000e+00, 1.596826641133239e+04, 0.000000000000000e+00, 1.031958784154088e+00
2568, 3.600000000000000e-01, 0.000000000000000e+00, 1.613120806891778e+04, 0.000000000000000e+00, 1.029582253402167e+00
2567, 3.400000000000000e-01, 0.000000000000000e+00, 1.620306498305844e+04, 0.000000000000000e+00, 1.028311809775859e+00
2566, 3.200000000000000e-01, 0.000000000000000e+00, 1.628589424807851e+04, 0.000000000000000e+00, 1.030465960274064e+00
2565, 2.999999999999999e-01, 0.000000000000000e+00, 1.617387823066342e+04, 0.000000000000000e+00, 1.033925715002288e+00
2564, 2.800000000000000e-01, 0.000000000000000e+00, 1.617861923344865e+04, 0.000000000000000e+00, 1.043398272734966e+00
2563, 2.600000000000000e-01, 0.000000000000000e+00, 1.592331109775034e+04, 0.000000000000000e+00, 1.049628522046018e+00
2562, 2.400000000000000e-01, 0.000000000000000e+00, 1.605805696459403e+04, 0.000000000000000e+00, 1.064285898508982e+00
2561, 2.200000000000000e-01, 0.000000000000000e+00, 1.571881869153441e+04, 0.000000000000000e+00, 1.065241988477996e+00
2560, 2.000000000000000e-01, 0.000000000000000e+00, 1.630573523420280e+04, 0.000000000000000e+00, 1.081240610590553e+00
2559, 1.799999999999999e-01, 0.000000000000000e+00, 1.593110819490846e+04, 0.000000000000000e+00, 1.063957341385601e+00
2558, 1.600000000000000e-01, 0.000000000000000e+00, 1.724280019417162e+04, 0.000000000000000e+00, 1.079455400496456e+00
2557, 1.400000000000000e-01, 0.000000000000000e+00, 1.714883695363923e+04, 0.000000000000000e+00, 1.011119953400347e+00
2556, 1.200000000000000e-01, 0.000000000000000e+00, 2.011880505340708e+04, 0.000000000000000e+00, 1.022480936538300e+00
2555, 9.999999999999998e-02, 0.000000000000000e+00, 1.618182553197269e+04, 0.000000000000000e+00, 9.062200873793657e-01
2554, 7.999999999999996e-02, 0.000000000000000e+00, 2.448779586293687e+04, 0.000000000000000e+00, 1.078769755386585e+00
2553, 5.999999999999994e-02, 0.000000000000000e+00, 5.623903453835703e+04, 0.000000000000000e+00, 1.598864801167831e+00
2552, 4.000000000000004e-02, 0.000000000000000e+00, 2.385314049229306e+05, 0.000000000000000e+00, 2.343450402735312e+00
2551, 2.000000000000002e-02, 0.000000000000000e+00, 1.169257506496657e+06, 0.000000000000000e+00, 2.537262967930287e+00
2550, 0.000000000000000e+00, 0.000000000000000e+00, 6.972130770305679e+06, 0.000000000000000e+00, 3.675292589688725e+00
